"model_id","model_name","frequency_penalty","logprobs","max_tokens","min_p","presence_penalty","reasoning","repetition_penalty","response_format","seed","stop","temperature","top_a","top_k","top_logprobs","top_p","verbosity"
"~anthropic/claude-fable-latest","Anthropic: Claude Fable Latest","","","Yes","","","Yes","","Yes","","Yes","","","","","","Yes"
"~anthropic/claude-haiku-latest","Anthropic Claude Haiku Latest","","","Yes","","","Yes","","Yes","","Yes","Yes","","Yes","","Yes",""
"~anthropic/claude-opus-latest","Anthropic: Claude Opus Latest","","","Yes","","","Yes","","Yes","","Yes","Yes","","","","","Yes"
"~anthropic/claude-sonnet-latest","Anthropic Claude Sonnet Latest","","","Yes","","","Yes","","Yes","","Yes","","","","","","Yes"
"~google/gemini-flash-latest","Google Gemini Flash Latest","","","Yes","","","Yes","","Yes","Yes","Yes","Yes","","","","Yes",""
"~google/gemini-pro-latest","Google Gemini Pro Latest","","","Yes","","","Yes","","Yes","Yes","Yes","Yes","","","","Yes",""
"~moonshotai/kimi-latest","MoonshotAI Kimi Latest","Yes","","Yes","","Yes","Yes","","Yes","","Yes","","","","","",""
"~openai/gpt-latest","OpenAI GPT Latest","","","Yes","","","Yes","","Yes","Yes","","","","","","",""
"~openai/gpt-mini-latest","OpenAI GPT Mini Latest","","","Yes","","","Yes","","Yes","Yes","","","","","","",""
"~x-ai/grok-latest","xAI: Grok Latest","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes",""
"ai21/jamba-large-1.7","AI21: Jamba Large 1.7","","","Yes","","","","","Yes","","Yes","Yes","","","","Yes",""
"aion-labs/aion-2.0","AionLabs: Aion-2.0","","","Yes","","","Yes","","Yes","","","Yes","","","","Yes",""
"aion-labs/aion-3.0","AionLabs: Aion-3.0","","","Yes","","","Yes","","Yes","","","Yes","","","","Yes",""
"aion-labs/aion-3.0-mini","AionLabs: Aion-3.0-Mini","","","Yes","","","Yes","","Yes","","","Yes","","","","Yes",""
"aion-labs/aion-rp-llama-3.1-8b","AionLabs: Aion-RP 1.0 (8B)","","","Yes","","","","","","","","Yes","","","","Yes",""
"allenai/olmo-3-32b-think","AllenAI: Olmo 3 32B Think","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes",""
"amazon/nova-2-lite-v1","Amazon: Nova 2 Lite","","","Yes","","","Yes","","","","Yes","Yes","","Yes","","Yes",""
"amazon/nova-lite-v1","Amazon: Nova Lite 1.0","","","Yes","","","","","","","Yes","Yes","","Yes","","Yes",""
"amazon/nova-micro-v1","Amazon: Nova Micro 1.0","","","Yes","","","","","","","Yes","Yes","","Yes","","Yes",""
"amazon/nova-premier-v1","Amazon: Nova Premier 1.0","","","Yes","","","","","","","Yes","Yes","","Yes","","Yes",""
"amazon/nova-pro-v1","Amazon: Nova Pro 1.0","","","Yes","","","","","","","Yes","Yes","","Yes","","Yes",""
"anthracite-org/magnum-v4-72b","Magnum v4 72B","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"anthropic/claude-3-haiku","Anthropic: Claude 3 Haiku","","","Yes","","","","","","","Yes","Yes","","Yes","","Yes",""
"anthropic/claude-fable-5","Anthropic: Claude Fable 5","","","Yes","","","Yes","","Yes","","Yes","","","","","","Yes"
"anthropic/claude-haiku-4.5","Anthropic: Claude Haiku 4.5","","","Yes","","","Yes","","Yes","","Yes","Yes","","Yes","","Yes",""
"anthropic/claude-opus-4","Anthropic: Claude Opus 4","","","Yes","","","Yes","","","","Yes","Yes","","","","Yes",""
"anthropic/claude-opus-4.1","Anthropic: Claude Opus 4.1","","","Yes","","","Yes","","Yes","","Yes","Yes","","Yes","","Yes",""
"anthropic/claude-opus-4.5","Anthropic: Claude Opus 4.5","","","Yes","","","Yes","","Yes","","Yes","Yes","","Yes","","","Yes"
"anthropic/claude-opus-4.6","Anthropic: Claude Opus 4.6","","","Yes","","","Yes","","Yes","","Yes","Yes","","Yes","","Yes","Yes"
"anthropic/claude-opus-4.7","Anthropic: Claude Opus 4.7","","","Yes","","","Yes","","Yes","","Yes","","","","","","Yes"
"anthropic/claude-opus-4.7-fast","Anthropic: Claude Opus 4.7 (Fast)","","","Yes","","","Yes","","Yes","","Yes","","","","","","Yes"
"anthropic/claude-opus-4.8","Anthropic: Claude Opus 4.8","","","Yes","","","Yes","","Yes","","Yes","Yes","","","","","Yes"
"anthropic/claude-opus-4.8-fast","Anthropic: Claude Opus 4.8 (Fast)","","","Yes","","","Yes","","Yes","","Yes","","","","","","Yes"
"anthropic/claude-sonnet-4","Anthropic: Claude Sonnet 4","","","Yes","","","Yes","","","","Yes","Yes","","Yes","","Yes",""
"anthropic/claude-sonnet-4.5","Anthropic: Claude Sonnet 4.5","","","Yes","","","Yes","","Yes","","Yes","Yes","","Yes","","Yes",""
"anthropic/claude-sonnet-4.6","Anthropic: Claude Sonnet 4.6","","","Yes","","","Yes","","Yes","","Yes","Yes","","Yes","","Yes","Yes"
"anthropic/claude-sonnet-5","Anthropic: Claude Sonnet 5","","","Yes","","","Yes","","Yes","","Yes","","","","","","Yes"
"arcee-ai/trinity-large-thinking","Arcee AI: Trinity Large Thinking","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes",""
"arcee-ai/virtuoso-large","Arcee AI: Virtuoso Large","Yes","","Yes","Yes","Yes","","Yes","","","Yes","Yes","","Yes","","Yes",""
"baidu/ernie-4.5-vl-424b-a47b","Baidu: ERNIE 4.5 VL 424B A47B","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","","Yes",""
"bytedance-seed/seed-1.6","ByteDance Seed: Seed 1.6","Yes","","Yes","","","Yes","","Yes","","Yes","Yes","","","","Yes",""
"bytedance-seed/seed-1.6-flash","ByteDance Seed: Seed 1.6 Flash","Yes","","Yes","","","Yes","","Yes","","Yes","Yes","","","","Yes",""
"bytedance-seed/seed-2.0-lite","ByteDance Seed: Seed-2.0-Lite","Yes","","Yes","","","Yes","","Yes","","Yes","Yes","","","","Yes",""
"bytedance-seed/seed-2.0-mini","ByteDance Seed: Seed-2.0-Mini","Yes","","Yes","","","Yes","","Yes","","Yes","Yes","","","","Yes",""
"bytedance/ui-tars-1.5-7b","ByteDance: UI-TARS 7B","Yes","Yes","Yes","","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes",""
"cognitivecomputations/dolphin-mistral-24b-venice-edition","Venice: Uncensored","Yes","","Yes","","Yes","","","Yes","","Yes","Yes","","Yes","","Yes",""
"cohere/command-a","Cohere: Command A","Yes","","Yes","","Yes","","","Yes","Yes","Yes","Yes","","Yes","","Yes",""
