"manufacturer_part_number","display_value","quantity","references"
"0451003.NRL","","1","F_MAIN_5V"
"045106.3MRL","","1","F_DISPLAY"
"10177070-00011LF","","1","J_USB_C"
"1206L020YR","","1","F_P0_OUTPUTS"
"39-29-1067","","1","J_PRIMARY_OUTPUTS"
"885012206052","","1","C_APP_REG_VCC"
"ADA4177-1ARZ","","5","U_SENSE_BUFFER_1;U_SENSE_BUFFER_2;U_SENSE_BUFFER_3;U_SENSE_BUFFER_4;U_SENSE_BUFFER_5"
"ADS8881IDGS","","1","U_SAR"
"BSS138AKA","","1","Q_DISPLAY_ENABLE"
"C0402C104K3RACTU","","1","C_DISPLAY_BYPASS"
"C0402C222K3RACTU","","2","C_DISPLAY_DVDT;C_DISPLAY_ITIMER"
"C0603C102J5GACTU","","1","C_SAR"
"C0603C104K3RACTU","","21","C_APP_REG_BOOT;C_APP_REG_IN_HF;C_HUB75_BUF_A_BYPASS;C_HUB75_BUF_B_BYPASS;C_IR_VS;C_PHASE_CONTROL_1;C_PHASE_CONTROL_2;C_REF_REG_HF;C_SENSE_MUX;C_SENSE_NEG_2;C_SENSE_NEG_3;C_SENSE_NEG_5;C_SENSE_NEG_6;C_SENSE_NEG_7;C_SENSE_POS_2;C_SENSE_POS_3;C_SENSE_POS_5;C_SENSE_POS_6;C_SENSE_POS_7;C_SINK_MUX;C_SOURCE_MUX"
"C1608X5R1A105K080AC","","1","C_ESP_EN_DELAY"
"C2012X7R1E475K125AB","","1","C_APP_REG_IN"
"C2012X7S1A226M125AC","","5","C_APP_REG_OUT_A;C_APP_REG_OUT_B;C_APP_REG_OUT_C;C_DISPLAY_IN;C_DISPLAY_OUT"
"CGA3E3X7R1H105K080AB","","6","C_NEG_FLY;C_NEG_IN;C_NEG_OUT;C_REF_IN;C_SAR_AVDD;C_SAR_DVDD"
"CMI-9605-0580T","","1","BZ_P0"
"CRCW0603100KFKEAHP","","4","R_PHASE_OE_PULLUP;R_SENSE_EN_PD;R_SINK_EN_PD;R_SOURCE_EN_PD"
"CRCW060320R0FKEAHP","","1","R_SAR"
"CRCW060322R0FKEAHP","","7","R_LINE_1;R_LINE_2;R_LINE_3;R_LINE_4;R_LINE_5;R_LINE_6;R_LINE_7"
"ESP32-S3-WROOM-1-N16R2","","1","U_APP"
"GCM188R71H104KA57D","","1","C_ESP_3V3_HF"
"GCM32EC71A476KE02L","","1","C_ESP_3V3_BULK"
"GRM21BR71A106KE51L","","1","C_REF_SAR"
"LMR43620MSC3RPERQ1","","1","U_APP_REGULATOR"
"OSTVN02A150","","1","J_POWER_INPUT"
"RC0402FR-0710KL","","1","R_DISPLAY_PG_PULLUP"
"RC0402FR-07137KL","","1","R_DISPLAY_PG_UPPER"
"RC0402FR-0749K9L","","1","R_DISPLAY_PG_LOWER"
"RC0402FR-07698RL","","1","R_DISPLAY_ILM"
"RC0603FR-07100KL","","6","R_DISPLAY_ENABLE_GATE_PD;R_P0_BUZZER_INPUT_PD;R_P0_GREEN_INPUT_PD;R_P0_RED_INPUT_PD;R_P0_WHITE_LEFT_INPUT_PD;R_P0_WHITE_RIGHT_INPUT_PD"
"RC0603FR-07100RL","","2","R_IR_OUT;R_IR_VS"
"RC0603FR-0710KL","","22","R_DISPLAY_ENABLE_GATE;R_DISPLAY_ENABLE_PULLUP;R_ESP_BOOT_PULLUP;R_ESP_EN_PULLUP;R_HUB75_A_PD;R_HUB75_B1_PD;R_HUB75_B2_PD;R_HUB75_B_PD;R_HUB75_CLK_PD;R_HUB75_C_PD;R_HUB75_D_PD;R_HUB75_G1_PD;R_HUB75_G2_PD;R_HUB75_LAT_PD;R_HUB75_OE_PULLUP;R_HUB75_PANEL_OE_PULLUP;R_HUB75_R1_PD;R_HUB75_R2_PD;R_HUB75_UNUSED_B_A6_PD;R_HUB75_UNUSED_B_A7_PD;R_HUB75_UNUSED_B_A8_PD;R_IR_PULLUP"
"RC0603FR-071KL","","1","R_APP_REG_DISCHARGE"
"RC0603FR-075K1L","","2","R_USB_CC1_RD;R_USB_CC2_RD"
"RC0603JR-070RL","","2","R_SCORING_GROUND_LINK;R_V5_ANALOG_LINK"
"RC1206FR-07180RL","","4","R_P0_GREEN_BALLAST;R_P0_RED_BALLAST;R_P0_WHITE_LEFT_BALLAST;R_P0_WHITE_RIGHT_BALLAST"
"RCWE0603R220FKEA","","1","R_REF_SAR"
"REF5025AQDRQ1","","1","U_REF"
"SN74AHCT245PWR","","2","U_DISPLAY_BUFFER_A;U_DISPLAY_BUFFER_B"
"SN74HCS595PWR","","2","U_PHASE_CONTROL_1;U_PHASE_CONTROL_2"
"T521B106M025ATE100","","1","C_REF_REG"
"TBD62783AFWG","","1","U_P0_OUTPUT_DRIVER"
"TMUX1208PWR","","3","U_SENSE_MUX;U_SINK_MUX;U_SOURCE_MUX"
"TNPW0603470RBEEA","","14","R_SINK_1;R_SINK_2;R_SINK_3;R_SINK_4;R_SINK_5;R_SINK_6;R_SINK_7;R_SOURCE_1;R_SOURCE_2;R_SOURCE_3;R_SOURCE_4;R_SOURCE_5;R_SOURCE_6;R_SOURCE_7"
"TPD2EUSB30DRTR","","1","U_USB_DATA_PROTECT"
"TPD4E05U06DQAR","","2","U_ESD_1;U_ESD_2"
"TPD6E05U06RVZR","","1","U_P0_OUTPUT_ESD"
"TPS259474ARPWR","","1","U_DISPLAY_LIMITER"
"TPS60400DBVR","","1","U_NEGATIVE_RAIL"
"TSOP38438","","1","U_IR_RX"
"TST-108-04-G-D-RA","","1","J_HUB75"
"WIZ850io","","1","U_ETHERNET"
"WP7113ID","","1","D_P0_RED"
"WP7113QWC/D","","2","D_P0_WHITE_LEFT;D_P0_WHITE_RIGHT"
"WP7113SGD","","1","D_P0_GREEN"
"XGL4030-222MEC","","1","L_APP_REGULATOR"
