"reference","center_x_mm","center_y_mm","layer","rotation_deg"
"BZ_P0","124","-6","top","0"
"C_APP_REG_BOOT","-11","63","top","0"
"C_APP_REG_IN","-23","63","top","0"
"C_APP_REG_IN_HF","-17","63","top","0"
"C_APP_REG_OUT_A","-23","83","top","0"
"C_APP_REG_OUT_B","-17","83","top","0"
"C_APP_REG_OUT_C","-11","83","top","0"
"C_APP_REG_VCC","-11","77","top","0"
"C_DISPLAY_BYPASS","31","40","top","0"
"C_DISPLAY_DVDT","40","33","top","0"
"C_DISPLAY_IN","31","48","top","0"
"C_DISPLAY_ITIMER","40","63","top","0"
"C_DISPLAY_OUT","31","56","top","0"
"C_ESP_3V3_BULK","31","36","top","0"
"C_ESP_3V3_HF","25","36","top","0"
"C_ESP_EN_DELAY","95","36","top","0"
"C_HUB75_BUF_A_BYPASS","110","19","top","0"
"C_HUB75_BUF_B_BYPASS","110","45","top","0"
"C_IR_VS","117","75","top","0"
"C_NEG_FLY","20","-8","top","0"
"C_NEG_IN","12","-15","top","0"
"C_NEG_OUT","28","-15","top","0"
"C_PHASE_CONTROL_1","-39","7","top","0"
"C_PHASE_CONTROL_2","-14","7","top","0"
"C_REF_IN","12","-52","top","0"
"C_REF_REG","28","-45","top","0"
"C_REF_REG_HF","28","-52","top","0"
"C_REF_SAR","12","-38","top","0"
"C_SAR","-8","-28","top","0"
"C_SAR_AVDD","7","-38","top","0"
"C_SAR_DVDD","7","-30","top","0"
"C_SENSE_MUX","-18","-34","top","0"
"C_SENSE_NEG_2","-10","-55.8","top","0"
"C_SENSE_NEG_3","-10","-46.8","top","0"
"C_SENSE_NEG_5","-10","-37.8","top","0"
"C_SENSE_NEG_6","-10","-28.8","top","0"
"C_SENSE_NEG_7","-10","-19.8","top","0"
"C_SENSE_POS_2","-10","-48.2","top","0"
"C_SENSE_POS_3","-10","-39.2","top","0"
"C_SENSE_POS_5","-10","-30.2","top","0"
"C_SENSE_POS_6","-10","-21.2","top","0"
"C_SENSE_POS_7","-10","-12.2","top","0"
"C_SINK_MUX","-59","-22","top","0"
"C_SOURCE_MUX","-59","-50","top","0"
"D_P0_GREEN","124","-36","top","0"
"D_P0_RED","124","-46","top","0"
"D_P0_WHITE_LEFT","124","-26","top","0"
"D_P0_WHITE_RIGHT","124","-16","top","0"
"F_DISPLAY","62","48","top","0"
"F_MAIN_5V","-35","37","top","0"
"F_P0_OUTPUTS","7","-50","top","0"
"J_HUB75","109.27000000000001","26.89","top","0"
"J_POWER_INPUT","-44.25","37","top","0"
"J_PRIMARY_OUTPUTS","89.2","-25.9","top","0"
"J_USB_C","-72","57.21","top","0"
"L_APP_REGULATOR","-9","70","top","0"
"Q_DISPLAY_ENABLE","106","49","top","0"
"R_APP_REG_DISCHARGE","-5","77","top","0"
"R_DISPLAY_ENABLE_GATE","111","53","top","0"
"R_DISPLAY_ENABLE_GATE_PD","116","49","top","0"
"R_DISPLAY_ENABLE_PULLUP","111","49","top","0"
"R_DISPLAY_ILM","31","33","top","0"
"R_DISPLAY_PG_LOWER","51","48","top","0"
"R_DISPLAY_PG_PULLUP","51","33","top","0"
"R_DISPLAY_PG_UPPER","51","40","top","0"
"R_ESP_BOOT_PULLUP","83","36","top","0"
"R_ESP_EN_PULLUP","89","36","top","0"
"R_HUB75_A_PD","105","30","top","0"
"R_HUB75_B_PD","105","26.8","top","0"
"R_HUB75_B1_PD","101","26.8","top","0"
"R_HUB75_B2_PD","101","22","top","0"
"R_HUB75_C_PD","101","42","top","0"
"R_HUB75_CLK_PD","101","38.8","top","0"
"R_HUB75_D_PD","101","40.4","top","0"
"R_HUB75_G1_PD","101","28.4","top","0"
"R_HUB75_G2_PD","101","23.6","top","0"
"R_HUB75_LAT_PD","101","37.2","top","0"
"R_HUB75_OE_PULLUP","105","41","top","0"
"R_HUB75_PANEL_OE_PULLUP","117","38","top","0"
"R_HUB75_R1_PD","101","30","top","0"
"R_HUB75_R2_PD","101","25.2","top","0"
"R_HUB75_UNUSED_B_A6_PD","101","35.5","top","0"
"R_HUB75_UNUSED_B_A7_PD","101","33.9","top","0"
"R_HUB75_UNUSED_B_A8_PD","101","32.3","top","0"
"R_IR_OUT","103","79","top","0"
"R_IR_PULLUP","96","73","top","0"
"R_IR_VS","117","79","top","0"
"R_LINE_1","-88","-54","top","0"
"R_LINE_2","-88","-46","top","0"
"R_LINE_3","-88","-38","top","0"
"R_LINE_4","-88","-30","top","0"
"R_LINE_5","-88","-22","top","0"
"R_LINE_6","-88","-14","top","0"
"R_LINE_7","-88","-6","top","0"
"R_P0_BUZZER_INPUT_PD","7","-16","top","0"
"R_P0_GREEN_BALLAST","108","-36","top","0"
"R_P0_GREEN_INPUT_PD","7","-34","top","0"
"R_P0_RED_BALLAST","108","-46","top","0"
"R_P0_RED_INPUT_PD","7","-40","top","0"
"R_P0_WHITE_LEFT_BALLAST","108","-26","top","0"
"R_P0_WHITE_LEFT_INPUT_PD","7","-28","top","0"
"R_P0_WHITE_RIGHT_BALLAST","108","-16","top","0"
"R_P0_WHITE_RIGHT_INPUT_PD","7","-22","top","0"
"R_PHASE_OE_PULLUP","-26","-1","top","0"
"R_REF_SAR","12","-45","top","0"
"R_SAR","-8","-34","top","0"
"R_SCORING_GROUND_LINK","-24","15","top","0"
"R_SENSE_EN_PD","-32","-34","top","0"
"R_SINK_1","-57","-32","top","0"
"R_SINK_2","-57","-29.5","top","0"
"R_SINK_3","-57","-27","top","0"
"R_SINK_4","-57","-24.5","top","0"
"R_SINK_5","-57","-22","top","0"
"R_SINK_6","-57","-19.5","top","0"
"R_SINK_7","-57","-17","top","0"
"R_SINK_EN_PD","-76","-22","top","0"
"R_SOURCE_1","-57","-59","top","0"
"R_SOURCE_2","-57","-55.5","top","0"
"R_SOURCE_3","-57","-52","top","0"
"R_SOURCE_4","-57","-48.5","top","0"
"R_SOURCE_5","-57","-45","top","0"
"R_SOURCE_6","-57","-41.5","top","0"
"R_SOURCE_7","-57","-38","top","0"
"R_SOURCE_EN_PD","-76","-50","top","0"
"R_USB_CC1_RD","-68","63","top","0"
"R_USB_CC2_RD","-62","63","top","0"
"R_V5_ANALOG_LINK","-30","15","top","0"
"U_APP","55","68.125","top","0"
"U_APP_REGULATOR","-16","70","top","0"
"U_DISPLAY_BUFFER_A","110","26","top","0"
"U_DISPLAY_BUFFER_B","110","38","top","0"
"U_DISPLAY_LIMITER","21","47.8375","top","0"
"U_ESD_1","-100","-44","top","0"
"U_ESD_2","-100","-16","top","0"
"U_ETHERNET","105","-52","top","0"
"U_IR_RX","105.46000000000001","72.6","top","180"
"U_NEGATIVE_RAIL","20","-15","top","0"
"U_P0_OUTPUT_DRIVER","25","-28","top","0"
"U_P0_OUTPUT_ESD","65","-28","top","0"
"U_PHASE_CONTROL_1","-45","7","top","0"
"U_PHASE_CONTROL_2","-20","7","top","0"
"U_REF","20","-45","top","0"
"U_SAR","0","-34","top","0"
"U_SENSE_BUFFER_1","-17","-52","top","0"
"U_SENSE_BUFFER_2","-17","-43","top","0"
"U_SENSE_BUFFER_3","-17","-34","top","0"
"U_SENSE_BUFFER_4","-17","-25","top","0"
"U_SENSE_BUFFER_5","-17","-16","top","0"
"U_SENSE_MUX","-26","-34","top","0"
"U_SINK_MUX","-68","-22","top","0"
"U_SOURCE_MUX","-68","-50","top","0"
"U_USB_DATA_PROTECT","-60","47","top","0"
