"manufacturer_part_number","display_value","quantity","references"
"1N4004-E3/54","","2","D_FAVERO_DATA_1;D_FAVERO_DATA_2"
"4N32M","","2","U_FAVERO_DATA_1;U_FAVERO_DATA_2"
"5520250-2","","2","J_FAVERO_DATA_1;J_FAVERO_DATA_2"
"5807","","1","U_USB_C_PD"
"BSS138-7-F","","3","Q_BUZZER;Q_LEFT_WHITE_LED;Q_RIGHT_WHITE_LED"
"C0603C104K3RACTU","","2","C_IR_SUPPLY;C_V5_BYPASS"
"C2012X5R0J226M125AC","","1","C_V5_BULK"
"D36V50F5","","1","U_V5_REGULATOR"
"ESP32-S3-DevKitC-1-N8R8","","1","U_CONTROLLER_MODULE"
"PS1240P02BT","","1","BZ_SCORING"
"RC0603FR-07100KL","","3","R_BUZZER_GATE_PULLDOWN;R_LEFT_WHITE_LED_PULLDOWN;R_RIGHT_WHITE_LED_PULLDOWN"
"RC0603FR-07100RL","","1","R_IR_SUPPLY"
"RC0603FR-071KL","","1","R_BUZZER_GATE"
"RC0805FR-071KL","","5","R_LEFT_B_SENSE;R_LEFT_C_SENSE;R_PISTE_SENSE;R_RIGHT_B_SENSE;R_RIGHT_C_SENSE"
"RC0805FR-07330RL","","7","R_DISPLAY_DATA;R_FAVERO_DATA_1_INPUT;R_FAVERO_DATA_2_INPUT;R_LEFT_RED_LED;R_LEFT_WHITE_LED;R_RIGHT_GREEN_LED;R_RIGHT_WHITE_LED"
"RC0805FR-0733RL","","2","R_LEFT_A_DRIVE;R_RIGHT_A_DRIVE"
"RC0805FR-07470RL","","5","R_LEFT_B_DRIVE;R_LEFT_C_DRIVE;R_PISTE_DRIVE;R_RIGHT_B_DRIVE;R_RIGHT_C_DRIVE"
"RC0805FR-07680KL","","2","R_FAVERO_DATA_1_BASE;R_FAVERO_DATA_2_BASE"
"RC0805FR-0782RL","","2","R_FAVERO_DATA_1_LOOP;R_FAVERO_DATA_2_LOOP"
"TSOP38438","","1","U_IR_RECEIVER"
"WIZ850io","","1","U_ETHERNET"
"WP7113GD","","1","LED_RIGHT_GREEN"
"WP7113ID","","1","LED_LEFT_RED"
"WP7113QWC/D","","2","LED_LEFT_WHITE;LED_RIGHT_WHITE"
